store_id,place_id,address,reason,detail
131,EkEx7Li1IDEwMe2YuCwgNjQ4LTQgRGV1bmdjaG9uLWRvbmcsIEdhbmdzZW8tZ3UsIFNlb3VsLCBTb3V0aCBLb3JlYSInGiUKFgoUChIJf0u-xxycfDURMbI_MjUyFfkSCzHsuLUgMTAx7Zi4,서울특별시 강서구 등촌동 648-4 1층 101호,HTTP_STATUS,429
135,EjoyMDTtmLgsIDE4ODQtNCBKdW5nc2FuLWRvbmcsIEp1bmctZ3UsIEluY2hlb24sIFNvdXRoIEtvcmVhIiIaIAoWChQKEgk5Jx3Cq4N7NRFB8nLxr1_78hIGMjA07Zi4,인천광역시 중구 중산동 1884-4 204호,HTTP_STATUS,429
139,ChIJx4aApf57ezURgmN47ZimymM,인천광역시 부평구 십정동 417-6,HTTP_STATUS,429
208,Ejk2N-2YuCwgNSBEYW5nanUtZG9uZywgSm9uZ25vIERpc3RyaWN0LCBTZW91bCwgU291dGggS29yZWEiIRofChYKFAoSCaEmhF2Tonw1EVXr7FVnaQLOEgU2N-2YuA,서울특별시 종로구 당주동 5 로얄빌딩 아케이드 B1 67호,HTTP_STATUS,429
214,ChIJM7slyUfuYjURa1tnzeyHzT8,강원특별자치도 춘천시 신북읍 천전리 100-25,HTTP_STATUS,429
134,ChIJOcM1R06cfDURsLmXWNgGIjY,서울특별시 강서구 화곡동 1073-9 거영오피스텔,HTTP_STATUS,429
140,EkIy7Li1LCA2Mi05IFRhZXB5ZW9uZ25vIDEoaWwpLWdhLCBKdW5nIERpc3RyaWN0LCBTZW91bCwgU291dGggS29yZWEiIBoeChYKFAoSCTFneDftonw1ERU_saovcMwXEgQy7Li1,서울특별시 중구 태평로1가 62-9 2층,HTTP_STATUS,429
145,EjYx7Li1LCAxMDIxIEp1bmdzYW4tZG9uZywgSnVuZy1ndSwgSW5jaGVvbiwgU291dGggS29yZWEiIBoeChYKFAoSCUU9lGe6g3s1ES2lk9vZtpYvEgQx7Li1,인천광역시 중구 중산동 1021 1층,HTTP_STATUS,429
110,EjsxLTLsuLUsIDEwNTktMSBHd2FuZ2FuLWRvbmcsIFN1eWVvbmctZ3UsIEJ1c2FuLCBTb3V0aCBLb3JlYSIiGiAKFgoUChIJN_wKySmTaDUR22Z596yYfOsSBjEtMuy4tQ,부산광역시 수영구 광안동 1059-1 1-2층,HTTP_STATUS,429
226,ChIJe3Bbl5OifDURFakTvEG0juA,서울특별시 종로구 내수동 73,HTTP_STATUS,429
244,ChIJ7TZN-XaQezUR0UAqfjDR5eU,인천광역시 중구 운서동 2868,HTTP_STATUS,429
234,ChIJ2U8jqpuaezURtEfkgGIN384,인천광역시 중구 운서동 2868 4층,HTTP_STATUS,429
242,ChIJ4fbRb_nlYTURWFA_ffIZB_Y,강원특별자치도 강릉시 성남동 110-2,HTTP_STATUS,429
230,ChIJAQKt5e_lYTURgGyTtc_LfCk,강원특별자치도 강릉시 교동 162-76 형제칼국수,HTTP_STATUS,429
243,Ej4xMDjtmLgsIDEwMjItMiBIb25namUtZG9uZywgR2FuZ25ldW5nLCBHYW5nd29uLWRvLCBTb3V0aCBLb3JlYSIiGiAKFgoUChIJARrKoX3vYTUROD4YuxHrTOMSBjEwOO2YuA,강원특별자치도 강릉시 홍제동 1022-2 메타폴리스 A동 108호,HTTP_STATUS,429
288,Ejkx7Li1LCAxODY0LTIgR3lvLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIBoeChYKFAoSCQvS_xmS5WE1Ed0hBcp1BH6TEgQx7Li1,강원특별자치도 강릉시 교동 1864-2 1층상가,HTTP_STATUS,429
304,ChIJS4aSVAONaDURcFuB0sWCseE,부산광역시 해운대구 중동 595-4,HTTP_STATUS,429
302,ChIJm5uiYtvBaDURwqXmPrPpnDs,부산광역시 사상구 괘법동 565-2,HTTP_STATUS,429
300,ChIJAzZt0FvvYTURDhSFxWOLRBA,강원특별자치도 강릉시 내곡동 107-7,HTTP_STATUS,429
297,ChIJ1dNKMWDvYTURuNLdLhhpPjM,강원특별자치도 강릉시 홍제동 996-3,HTTP_STATUS,429
294,ChIJec-qhP7lYTUR7iTXOXr86hU,강원특별자치도 강릉시 노암동 279-26,HTTP_STATUS,429
286,ChIJhyaXCI_lYTUR2939h0g8qyc,강원특별자치도 강릉시 교동 1891-8,HTTP_STATUS,429
284,ChIJUdtgD_rlYTURQ1rp9id09Fg,강원특별자치도 강릉시 임당동 77-2,HTTP_STATUS,429
248,ChIJi5aGYACjfDURiGfOQhT5fOs,서울특별시 종로구 당주동 170-1 1층 순대실록 광화문점,HTTP_STATUS,429
247,Ejkx7Li1LCAxODI5LTIgR3lvLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIBoeChYKFAoSCf-stO6T5WE1EZTw0ohw99KrEgQx7Li1,강원특별자치도 강릉시 교동 1829-2 1층 탕화쿵푸마라탕 택지점,HTTP_STATUS,429
246,ChIJK8P3vXrmYTURb-1nClKoc2k,강원특별자치도 강릉시 포남동 1187-12 이정희차돌두루치기,HTTP_STATUS,429
241,Ejkx7Li1LCAxODE4LTEgR3lvLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIBoeChYKFAoSCUegrTuR5WE1EadwcaJ2p7EwEgQx7Li1,강원특별자치도 강릉시 교동 1818-1 1층 금화왕돈까스,HTTP_STATUS,429
233,ChIJ_RLS18DuYTURkBEnmkvjs4I,강원특별자치도 강릉시 구정면 학산리 661,HTTP_STATUS,429
239,ChIJ0_86I47lYjURz_oE9A02CBk,강원특별자치도 춘천시 동면 만천리 579-3 미다미,HTTP_STATUS,429
245,ChIJ5yZJ6Me72F8RpA8_kOnQlDk,강원특별자치도 속초시 대포동 964-7 남경막국수,HTTP_STATUS,429
249,EkAx7Li1LCA3LTUgU2lubXVubm8gMShpbCktZ2EsIEpvbmdubyBEaXN0cmljdCwgU2VvdWwsIFNvdXRoIEtvcmVhIiAaHgoWChQKEglVzB-27KJ8NRFsUnswJnb8YRIEMey4tQ,서울특별시 종로구 신문로1가 7-5 1층,HTTP_STATUS,429
187,EkLsuLUgMTAxfjEwM-2YuCwgMTAzMC0xIEh3YWdvay1kb25nLCBHYW5nc2VvLWd1LCBTZW91bCwgU291dGggS29yZWEiKhooChYKFAoSCb-FmKJFnHw1EV3sQmSk6XNLEg7suLUgMTAxfjEwM-2YuA,서울특별시 강서구 화곡동 1030 1층 101~103호,HTTP_STATUS,429
272,ChIJU0YnfpfmYTURYESAH_5fOIk,강원특별자치도 강릉시 초당동 357-4,HTTP_STATUS,429
263,ChIJL3Wx6pSifDURe_WfqbZAk4I,서울특별시 종로구 도렴동 60,HTTP_STATUS,429
271,Ejgx7Li1LCA4MTEtMiBHeW8tZG9uZywgR2FuZ25ldW5nLCBHYW5nd29uLWRvLCBTb3V0aCBLb3JlYSIgGh4KFgoUChIJV5WGXO_lYTURRqHX4hY5l5oSBDHsuLU,강원특별자치도 강릉시 교동 811-2 1층,HTTP_STATUS,429
269,ChIJobGCSRfvYTUR0pChsJ-sV9w,강원특별자치도 강릉시 내곡동 751,NO_RESULTS,
